train_rl2,test_rl2,test_matrl2
0.4065203891694546,0.15397505106404424,0.0859370306134224
0.05525268169119954,0.013664340867544525,0.006629664450883865
0.013560877153649927,0.015868760130251756,0.007764274254441261
0.01232645897194743,0.010587565053720027,0.009138252586126328
0.019220640202984213,0.0197293157922104,0.018389975652098656
0.017604277348145844,0.02141563899233006,0.012188049033284187
0.008102611689828336,0.0037259849451947956,0.0020371763966977596
0.008550120159052313,0.009589848561445251,0.007518566679209471
0.008127009854651987,0.005208998916205018,0.0035139969550073147
0.01644679613877088,0.008764126050809864,0.007005674298852682
0.012005503321997821,0.011746614110306837,0.006135254167020321
0.015736940205097198,0.022313824489247056,0.014133845455944538
0.011084925476461649,0.008265455407090484,0.008022858761250973
0.009005490047857166,0.018331484701484442,0.017400160431861877
0.007735464163124562,0.00507787202775944,0.002947787055745721
0.01088527116458863,0.008669530639890581,0.0053962478414177895
0.009843837888911366,0.012783700526924804,0.008519908413290977
0.007282523005269468,0.0026611431459605227,0.0014590253122150898
0.006104053449817002,0.0039264417730737475,0.0033952570520341396
0.010514746941626072,0.010703569686738775,0.009832341223955154
0.014017699183896185,0.006800601158756763,0.004364875145256519
0.008298280513845385,0.004365821044193581,0.003191613359376788
0.007119428119622171,0.012986452796030789,0.012728972360491753
0.010844739801250398,0.006102652112604119,0.005319146439433098
0.009509640421019866,0.005301588118309155,0.004853344056755304
0.00668488449184224,0.011923697078600526,0.011465022340416908
0.011320746075361966,0.003984886774269399,0.002439443487673998
0.006432516947388649,0.005776995921623893,0.0034422832541167736
0.005951489740982652,0.006072270462755114,0.005670255050063133
0.007878901711665094,0.007620368986390531,0.004023713059723377
0.0053804446244612334,0.006295302463113331,0.00542690372094512
0.007215813635848462,0.008045943293254823,0.006466722581535578
0.00872384726535529,0.009152959230123088,0.004827841185033321
0.013664218331687152,0.005322736682137475,0.005006602965295315
0.008430964730214327,0.006319756802404299,0.003765184199437499
0.006245201439596713,0.0034885235782712697,0.0027950862422585487
0.008002446840982884,0.011880975847598165,0.01228573452681303
0.008130816677585244,0.007042275191633962,0.0036221046466380358
0.006221808737609536,0.006025313147110864,0.006114171352237463
0.007239708167035132,0.009590502177597954,0.009676437824964523
0.009681328902952374,0.005379152743844315,0.0035382485948503017
0.006618656069040298,0.0060536002588924024,0.005140616558492184
0.008444541612407193,0.009590489304391667,0.008861048147082329
0.0065313181118108335,0.0026853274046152367,0.0017689862288534641
0.006947764987125992,0.009675354878418148,0.007050951011478901
0.006533820191398263,0.003577322559140157,0.0020131550263613462
0.008636983521282672,0.013721316957380623,0.014342226088047028
0.005875211665406823,0.008855521765071898,0.007967357523739338
0.008930586939677597,0.002596427261014469,0.0015081261517480016
0.007279386317823083,0.005764709260547534,0.0037225878331810236
0.005455158816184849,0.003929573513451032,0.0025750217027962208
0.005888691486325115,0.007480096801300533,0.003778386628255248
0.007245968556962907,0.014453807247336954,0.0141614880412817
0.008739194767549634,0.007108957662712783,0.004485366865992546
0.008159955306909978,0.0030028031824622303,0.0025144051760435104
0.0062718170532025394,0.006212586264009588,0.005102668423205614
0.006768533133435994,0.008068875373573973,0.0069193849340081215
0.008295439165085555,0.008960312467534095,0.00883153360337019
0.006292456344235689,0.006744842292391695,0.004076814744621515
0.005778425843454897,0.015597381459083409,0.01366611011326313
0.008938066591508687,0.002908949519041926,0.002057779347524047
0.0073018223699182275,0.005655000387923792,0.004228506237268448
0.005957552581094205,0.00592192127747694,0.0039001924451440573
0.005710578761063516,0.0019027282556635327,0.0013145209522917867
0.004216375446412712,0.00420974762935657,0.0038441051729023457
0.007434127214364708,0.00494591950555332,0.004393578972667456
0.007309970441274345,0.008568676216527819,0.00821811705827713
0.006809951383620501,0.010635726056061685,0.009769836440682411
0.007615678280126303,0.004469336151960306,0.003086441196501255
0.00599329772638157,0.006783498619915918,0.006285788491368294
0.00500261859735474,0.009276062406715937,0.004954563919454813
0.00820159847382456,0.009481817442574538,0.006718144286423922
